0.001,0.6279
0.011,0.6335
0.021,0.6390
0.031,0.6445 
0.041,0.6499 
0.051,0.6553
0.061,0.6607 
0.071,0.6663 
0.081,0.6719 
0.091,0.6778 
0.101,0.6837 
0.111,0.6895 
0.121,0.6952 
0.131,0.7008 
0.141,0.7065 
0.151,0.7122 
0.161,0.7181 
0.171,0.7241 
0.181,0.7303 
0.191,0.7362 
0.201,0.7420 
0.211,0.7477 
0.221,0.7535 
0.231,0.7593 
0.241,0.7653 
0.251,0.7716 
0.261,0.7776 
0.271,0.7834 
0.281,0.7891 
0.291,0.7948 
0.301,0.8006 
0.311,0.8067 
0.321,0.8129 
0.331,0.8189 
0.341,0.8246
0.351,0.8302
0.361,0.8358
0.371,0.8417
0.381,0.8479
0.391,0.8540
0.401,0.8598
0.411,0.8653
0.421,0.8707 
0.431,0.8763 
0.441,0.8823
0.451,0.8885
0.461,0.8941
0.471,0.8993
0.481,0.9044
0.491,0.9096
0.501,0.9154
0.511,0.9215
0.521,0.9265
0.531,0.9306
0.541,0.9343
0.551,0.9379
0.561,0.9420
0.571,0.9464
0.581,0.9488
0.591,0.9493
0.601,0.9468
0.611,0.9433
0.621,0.9398
0.631,0.9363
0.641,0.9328
0.651,0.9294
0.661,0.9259 
