0.350,0.4205
0.360,0.4326
0.370,0.4433
0.380,0.4543
0.390,0.4656
0.400,0.4756
0.410,0.4890
0.420,0.5009
0.430,0.5114
0.440,0.5207
0.450,0.5290
0.460,0.5422
0.470,0.5538
0.480,0.5640
0.490,0.5731
0.500,0.5811
0.510,0.5939
0.520,0.6051
0.530,0.6150
0.540,0.6236
0.550,0.6313
0.560,0.6438
0.570,0.6547
0.580,0.6642
0.590,0.6724
0.600,0.6796
0.610,0.6920
0.620,0.7026
0.630,0.7117
0.640,0.7196
0.650,0.7264
0.660,0.7385
0.670,0.7488
0.680,0.7575
0.690,0.7648
0.700,0.7710
0.704,0.7761
0.708,0.7808
0.712,0.7852
0.716,0.7892
0.720,0.7929
0.724,0.7964
0.728,0.7996
0.732,0.8025
0.736,0.8053
0.740,0.8078
0.744,0.8101
0.748,0.8123
0.752,0.8160
0.756,0.8211
0.760,0.8257
0.764,0.8299
0.768,0.8337
0.772,0.8372
0.776,0.8404
0.780,0.8433
0.784,0.8459
0.788,0.8483
0.792,0.8505
0.796,0.8525
0.800,0.8545
0.804,0.8599
0.808,0.8649
0.812,0.8693
0.816,0.8733
0.820,0.8768
0.824,0.8800
0.828,0.8828
0.832,0.8853
0.836,0.8875
0.840,0.8894
0.844,0.8911
0.848,0.8926
0.852,0.8967
0.856,0.9027
0.860,0.9078
0.864,0.9121
0.868,0.9158
0.872,0.9190
0.876,0.9217
0.880,0.9239
0.884,0.9258
0.888,0.9275
0.892,0.9288
0.896,0.9299
0.900,0.9309
0.904,0.9362
0.908,0.9404
0.912,0.9439
0.916,0.9466
0.920,0.9487
0.924,0.9504
0.928,0.9517
0.932,0.9513
0.936,0.9494
0.940,0.9476
0.944,0.9457
0.948,0.9439
0.952,0.9421
0.956,0.9403
0.960,0.9385
0.964,0.9367
0.968,0.9349
0.972,0.9331
0.976,0.9313
0.980,0.9295
0.984,0.9278
0.988,0.9260 
