0.001,0.0981
0.011,0.0978
0.021,0.0973
0.031,0.0968
0.041,0.0963
0.051,0.0956
0.061,0.0949
0.071,0.0941
0.081,0.0933
0.091,0.0925
0.101,0.0916
0.111,0.0905
0.121,0.0894
0.131,0.0882
0.141,0.0868
0.151,0.0854
0.161,0.0840
0.171,0.0826
0.181,0.0810
0.191,0.0794
0.201,0.0776
0.211,0.0757
0.221,0.0737
0.231,0.0717
0.241,0.0697
0.251,0.0676
0.261,0.0655
0.271,0.0632
0.281,0.0608
0.291,0.0584
0.301,0.0559
0.311,0.0535
0.321,0.0511
0.331,0.0486
0.341,0.0460
0.351,0.0434
0.361,0.0408
0.371,0.0383
0.381,0.0358
0.391,0.0334
0.401,0.0309
0.411,0.0284
0.421,0.0260
0.431,0.0236
0.441,0.0214
0.451,0.0193
0.461,0.0173
0.471,0.0152
0.481,0.0133
0.491,0.0115
0.501,0.0099
0.511,0.0085
0.521,0.0071
0.531,0.0057
0.541,0.0045
0.551,0.0035
0.561,0.0026
0.571,0.0019
0.581,0.0013
0.591,0.0008
0.601,0.0004
0.611,0.0002
0.621,0.0001
0.631,0.0000
0.641,0.0000
0.651,0.0000
0.661,0.0000
0.671,0.0000
0.681,0.0000
0.691,0.0000 
