bin,x,y,xerr,yerr,xerrsyst,yerrsyst,CFR_pred,CFR+TFR_pred
0,0.521,0.0704,0.0498,0.0444,0,0.0198,0.5985,0.1
1,0.64,-0.0112,0.0267,0.0529,0,0.013,0.7196,0.0817
2,0.727,0.11,0.0243,0.0811,0,0.0244,0.801,0.0564
3,0.813,0.0504,0.0259,0.104,0,0.0123,0.8715,0.0291
4,0.92,0.115,0.0394,0.137,0,0.0119,0.949,0.0045
